ElectrodeName,TargetName,PreferredEntry,TargetX,TargetY,EntryX,EntryY,Category,Comments
LFOP,Orbitofrontal Cortex (posterior),Inferior Frontal Gyrus,443,1673,396,692,Frontal,
LFAS,Pre-frontal/pre-SMA,Superior frontal gyrus,233,1337,249,377,Frontal,
LFMS,Supplementary Motor Area,Superior Frontal Gyrus,533,1194,434,256,Frontal,
LFPS,Paracentral Lobule,Precentral gyrus,702,1172,683,138,Frontal,
LFAM,Anterior cingulate (genu),Middle Frontal gyrus,324,1511,320,536,Cingulate,
LFMM,Anterior mid-cingulate gyrus,Middle frontal gyrus,482,1389,462,483,Cingulate,
LFPM,Mid cingulate gyrus,Precentral gyrus,615,1337,612,395,Cingulate,
LFAI,Frontal operculum,Pars Triangularis,500,1664,459,652,Frontal,
LFMI,Frontal operculum,Pars Opercularis,411,1616,526,576,Frontal,
LPAS,Marginal/Post-central mesial,Post-central,1061,1138,878,111,Parietal,
LPMS,Precuneus (superior),Superior parietal lobule,1172,1183,1061,152,Parietal,
LPPS,Precuneus,Superior parietal lobule,1252,1242,1207,209,Parietal,
LPAM,Mid cingulate gyrus (posterior),Postcentral gyrus,821,1324,754,284,Cingulate,
LPMM,Precuneus (middle or inferior),IPS,1083,1281,996,235,Parietal,
LPPM,Precuneus (posterior),Angular gyrus,1172,1353,1172,306,Parietal,
LPAI,Posterior insula,IPL,784,1445,797,466,Insula,
LPMI,Posterior cingulate gyrus,Inferior parietal lobule,1003,1396,889,410,Cingulate,
LTP,Temporal pole,Anterior temporal gyrus - pole,557,1795,580,770,Temporal,
LTAS,Anterior insula (MSG),Superior temporal gyrus,596,1624,596,614,Insula,
LTMS,Posterior insula (Heschl's),Mid superior temporal gyrus,757,1535,725,553,Insula,
LTPS,Pulvinar,Superior temporal gyrus,829,1502,901,489,Temporal,
LTAM,Amygdala,Anterior MTG,683,1676,638,715,Temporal,
LTMM,Hippocampus Body (Left),L Mid MTG,789,1637,761,669,Temporal,
LTPM,Hippocampus Tail (Left),L Posterior MTG,937,1575,942,587,Temporal,
LTOJ,Temporo-occipital junction,Posterior middle temporal gyrus,1049,1539,1053,542,Temporal-Occipital TOJ,
LTAI,Entorhinal,Inferior temporal gyrus,734,1765,745,790,Temporal,
LTMI,Parahippocampal,Inferior temporal gyrus,903,1689,916,712,Temporal,
LTPI,Fusiform Gyrus (Left),L Inferior Temporal,1042,1615,1085,655,Temporal,
LOAS,Cuneus,Area MT/V5,1248,1393,1175,414,Occipital,
LOMS,Cuneus,Superior occipital gyrus,1303,1359,1234,319,Occipital,
LOPS,Medial occipital,Superior occipital gyrus,1328,1284,1364,319,Occipital,
LOAM,Calcarine sulcus,Angular/posterior temporo-occipital,1198,1475,1147,510,Occipital,
LOMM,Cuneus,Middle occipital gyrus,1282,1523,1266,504,Occipital,
LOPM,Medial occipital,Middle occipital gyrus,1428,1426,1408,450,Occipital,
LOAI,Lingular gyrus ,Temporo-occipital notch,1191,1600,1188,618,Occipital,
LOMI,Inferior lingual gyrus,Inferior occipital gyrus,1392,1538,1360,566,Occipital,
RFOP,Orbitofrontal Cortex (posterior),Inferior Frontal Gyrus,2704,1673,2751,692,Frontal,
RFAS,Pre-frontal/pre-SMA,Superior frontal gyrus,2887,1393,2891,434,Frontal,
RFMS,Supplementary Motor Area,Superior Frontal Gyrus,2583,1172,2630,239,Frontal,
RFPS,Paracentral Lobule,Precentral gyrus,2438,1169,2457,157,Frontal,
RFAM,Anterior cingulate (genu),Middle Frontal gyrus,2816,1494,2804,541,Cingulate,
RFMM,Anterior mid-cingulate gyrus,Middle frontal gyrus,2671,1383,2655,471,Cingulate,
RFPM,Mid cingulate gyrus,Precentral gyrus,2532,1327,2516,368,Cingulate,
RFAI,Frontal operculum,Pars Triangularis,2647,1664,2688,652,Frontal,
RFMI,Frontal operculum,Pars Opercularis,2797,1607,2608,581,Frontal,
RPAS,Marginal/Post-central mesial,Post-central,2086,1138,2269,111,Parietal,
RPMS,Precuneus (superior),Superior parietal lobule,1979,1183,2066,154,Parietal,
RPPS,Precuneus,Superior Parietal Lobule,1895,1229,1927,212,Parietal,
RPAM,Mid cingulate gyrus (posterior),Postcentral gyrus,2315,1330,2409,336,Cingulate,
RPMM,Precuneus (middle or inferior),IPS,2064,1294,2121,245,Parietal,
RPPM,Precuneus (posterior),Angular gyrus,1959,1389,1968,302,Parietal,
RPAI,Posterior insula,IPL,2338,1453,2334,461,Insula,
RPMI,Posterior cingulate gyrus,Inferior parietal lobule,2134,1416,2201,413,Cingulate,
RTP,Temporal pole,Anterior temporal gyrus - pole,2583,1775,2567,777,Temporal,
RTAS,Anterior insula (MSG),Superior temporal gyrus,2551,1610,2564,622,Insula,
RTMS,Posterior insula (Heschl's),Mid superior temporal gyrus,2406,1545,2409,566,Insula,
RTPS,Pulvinar,Superior temporal gyrus,2343,1505,2190,501,Temporal,
RTAM,Amygdala,Anterior MTG,2448,1664,2477,722,Temporal,
RTMM,Hippocampus Body (Left),L Mid MTG,2350,1646,2370,658,Temporal,
RTPM,Hippocampus Tail (Left),L Posterior MTG,2189,1570,2180,608,Temporal,
RTOJ,Temporo-occipital junction,Posterior middle temporal gyrus,2045,1527,2038,547,Temporal-Occipital TOJ,
RTAI,Entorhinal,Inferior temporal gyrus,2422,1775,2429,807,Temporal,
RTMI,Parahippocampal,Inferior temporal gyrus,2231,1673,2224,700,Temporal,
RTPI,Fusiform Gyrus (Left),L Inferior Temporal,2064,1624,2066,642,Temporal,
ROAS,Cuneus,Area MT/V5,1888,1411,1952,404,Occipital,
ROMS,Cuneus,Superior occipital gyrus,1842,1367,1894,325,Occipital,
ROPS,Medial occipital,Superior occipital gyrus,1814,1288,1778,319,Occipital,
ROAM,Calcarine sulcus,Angular/posterior temporo-occipital,1949,1465,1949,471,Occipital,
ROMM,Cuneus,Middle occipital gyrus,1835,1505,1846,483,Occipital,
ROPM,Medial occipital,Middle occipital gyrus,1719,1445,1719,463,Occipital,
ROAI,Lingular gyrus ,Temporo-occipital notch,1901,1607,1897,612,Occipital,
ROMI,Inferior lingual gyrus,Inferior occipital gyrus,1755,1538,1787,566,Occipital,
